주문일,배송방식,고객명,고객분류,시군구,시도,지역,제품대분류,제품소분류,이름,매출,수량,할인율,이익
2019.7.28,표준등급,Tony Molinari,개인고객,부천시,경기도,수도권,가구,기타 가구,Tensor Computer Mounted Lamp,14.89,1,0,4.0203
2019.7.28,표준등급,Tony Molinari,개인고객,부천시,경기도,수도권,전자제품,전화기,Nortel Networks T7316 E Nt8 B27,543.92,8,0,135.98
2020.9.24,1등급,Darrin Van Huff,기업고객,강남구,서울,수도권,사무용품,봉투,Poly String Tie Envelopes,4.08,2,0,1.9176
2020.9.24,1등급,Darrin Van Huff,기업고객,강남구,서울,수도권,사무용품,라벨,Avery 51,18.9,3,0,8.694
2020.5.31,표준등급,Anna Häberlin,기업고객,유성구,대전,특별광역시,가구,테이블,Hon Rectangular Conference Tables,2275.5,10,0,386.835
2020.5.31,표준등급,Anna Häberlin,기업고객,유성구,대전,특별광역시,전자제품,액세서리,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,1979.7,6,0,653.301
2020.5.31,표준등급,Anna Häberlin,기업고객,유성구,대전,특별광역시,사무용품,라벨,Avery 473,62.1,6,0,29.808
2019.11.16,표준등급,Alan Barnes,개인고객,중구,서울,수도권,가구,의자,SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair,37.296,2,0.3,-1.0656
2019.9.21,1등급,Joni Sundaresam,홈오피스,해운대구,부산,특별광역시,가구,기타 가구,Dana Swing-Arm Lamps,8.544,2,0.6,-7.476
2020.2.21,표준등급,Benjamin Venier,기업고객,강북구,서울,수도권,가구,기타 가구,9-3/4 Diameter Round Wall Clock,68.95,5,0,28.959
2020.2.21,표준등급,Benjamin Venier,기업고객,강북구,서울,수도권,사무용품,저장고,"Recycled Data-Pak for Archival Bound Computer Printouts, 12-1/2 x 12-1/2 x 16",296.37,3,0,80.0199
2020.2.21,표준등급,Benjamin Venier,기업고객,강북구,서울,수도권,전자제품,전화기,iOttie HLCRIO102 Car Mount,39.98,2,0,1.999
2019.11.20,1등급,Nathan Cano,개인고객,안산시,경기도,수도권,가구,의자,"Global Wood Trimmed Manager's Task Chair, Khaki",191.058,3,0.3,-46.3998
2019.11.20,1등급,Nathan Cano,개인고객,안산시,경기도,수도권,사무용품,아트,"Avery Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink",13.04,5,0.2,3.912
2019.11.20,1등급,Nathan Cano,개인고객,안산시,경기도,수도권,사무용품,바인더,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,1525.188,6,0.8,-2287.782
2020.8.22,표준등급,Stephanie Ulpright,홈오피스,김제시,전라북도,전라,사무용품,라벨,Avery 49,9.216,4,0.2,3.3408
2020.8.22,표준등급,Stephanie Ulpright,홈오피스,김제시,전라북도,전라,사무용품,소모품,"Acme 10"" Easy Grip Assistive Scissors",28.048,2,0.2,3.506
2019.5.1,표준등급,Don Jones,기업고객,서초구,서울,수도권,가구,기타 가구,"Seth Thomas 16"" Steel Case Clock",64.96,2,0,21.4368
2019.5.1,표준등급,Don Jones,기업고객,서초구,서울,수도권,사무용품,봉투,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",30.56,4,0,14.9744
2020.5.3,표준등급,Dan Lawera,개인고객,부안군,전라북도,전라,가구,의자,"Global Stack Chair without Arms, Black",187.056,9,0.2,11.691
2020.12.4,표준등급,Tracy Zic,개인고객,서초구,서울,수도권,사무용품,아트,Avery Hi-Liter Fluorescent Desk Style Markers,16.9,5,0,6.253
2020.12.4,표준등급,Tracy Zic,개인고객,서초구,서울,수도권,가구,기타 가구,"Eldon Image Series Desk Accessories, Burgundy",25.08,6,0,9.0288
2019.1.7,2등급,Lycoris Saunders,개인고객,송파구,서울,수도권,사무용품,종이,Xerox 225,19.44,3,0,9.3312
2020.3.5,표준등급,Mike Vittorini,개인고객,안산시,경기도,수도권,전자제품,전화기,Cisco SPA525G2 IP Phone - Wireless,31.92,2,0.2,2.394
2020.12.26,2등급,Brian DeCherney,개인고객,성남시,경기도,수도권,사무용품,바인더,GBC Premium Transparent Covers with Diagonal Lined Pattern,33.568,2,0.2,11.7488
2020.9.5,표준등급,Christina VanderZanden,개인고객,성남시,경기도,수도권,가구,기타 가구,"Howard Miller 16"" Diameter Gallery Wall Clock",63.94,1,0,24.9366
2020.9.5,표준등급,Christina VanderZanden,개인고객,성남시,경기도,수도권,사무용품,바인더,Plastic Binding Combs,60.6,5,0.2,20.4525
2020.9.5,표준등급,Christina VanderZanden,개인고객,성남시,경기도,수도권,사무용품,소모품,Acme Preferred Stainless Steel Scissors,22.72,4,0,6.5888
2020.5.21,표준등급,Michelle Ellison,기업고객,중구,서울,수도권,사무용품,바인더,Ibico Plastic and Wire Spiral Binding Combs,26.976,4,0.2,8.7672
2019.10.17,표준등급,Anthony Jacobs,기업고객,서귀포시,제주,제주,사무용품,종이,Green Bar Computer Printout Paper,307.776,7,0.2,111.5688
2020.11.9,2등급,Dianna Vittorini,개인고객,강북구,서울,수도권,사무용품,저장고,Tennsco Industrial Shelving,244.55,5,0,4.891
2020.11.9,2등급,Dianna Vittorini,개인고객,강북구,서울,수도권,사무용품,봉투,Poly String Tie Envelopes,12.24,6,0,5.7528
2020.11.9,2등급,Dianna Vittorini,개인고객,강북구,서울,수도권,전자제품,액세서리,AmazonBasics 3-Button USB Wired Mouse,13.98,2,0,6.0114
2020.11.9,2등급,Dianna Vittorini,개인고객,강북구,서울,수도권,전자제품,액세서리,Logitech VX Revolution Cordless Laser Mouse for Notebooks (Black),899.95,5,0,53.997
2019.11.21,표준등급,Jason Klamczynski,기업고객,용인시,경기도,수도권,사무용품,봉투,Poly String Tie Envelopes,1.632,1,0.2,0.5508
2019.11.21,표준등급,Jason Klamczynski,기업고객,용인시,경기도,수도권,전자제품,전화기,RCA Visys Integrated PBX 8-Line Router,267.96,5,0.2,16.7475
2020.10.11,2등급,Shahid Hopkins,개인고객,의정부시,경기도,수도권,전자제품,액세서리,"Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 30/Pack",31.95,1,0,2.2365
2019.3.22,2등급,Steven Cartwright,개인고객,송파구,서울,수도권,사무용품,저장고,Adjustable Depth Letter/Legal Cart,725.84,4,0,210.4936
2019.3.22,2등급,Steven Cartwright,개인고객,송파구,서울,수도권,사무용품,바인더,"Avery Durable Plastic 1"" Binders",10.896,3,0.2,3.9498
2019.3.22,2등급,Steven Cartwright,개인고객,송파구,서울,수도권,사무용품,바인더,Pressboard Data Binders by Wilson Jones,8.544,2,0.2,2.8836
2019.12.10,표준등급,Lena Hernandez,개인고객,문경시,경상북도,경상,사무용품,종이,Xerox 1884,143.856,9,0.2,48.5514
2020.9.7,표준등급,Yoseph Carroll,기업고객,용인시,경기도,수도권,사무용품,종이,Advantus Motivational Note Cards,41.92,4,0.2,15.196
2020.9.7,표준등급,Yoseph Carroll,기업고객,용인시,경기도,수도권,전자제품,전화기,AT&T CL83451 4-Handset Telephone,329.584,2,0.2,37.0782
2019.5.13,표준등급,Aaron Hawkins,기업고객,송파구,서울,수도권,가구,의자,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",279.456,6,0.2,20.9592
2019.5.13,표준등급,Aaron Hawkins,기업고객,송파구,서울,수도권,사무용품,종이,EcoTones Memo Sheets,8,2,0,3.84
2020.9.30,표준등급,Andy Reiter,개인고객,서초구,서울,수도권,사무용품,바인더,Avery Self-Adhesive Photo Pockets for Polaroid Photos,27.24,5,0.2,9.534
2019.8.5,표준등급,Sonia Sunley,개인고객,서초구,서울,수도권,전자제품,액세서리,Logitech Desktop MK120 Mouse and keyboard Combo,16.36,1,0,1.636
2019.8.5,표준등급,Sonia Sunley,개인고객,서초구,서울,수도권,사무용품,저장고,Akro Stacking Bins,15.78,2,0,0.6312
2019.8.5,표준등급,Sonia Sunley,개인고객,서초구,서울,수도권,사무용품,아트,Boston KS Multi-Size Manual Pencil Sharpener,45.98,2,0,12.8744
2019.4.15,표준등급,Dorothy Wardle,기업고객,남원시,전라북도,전라,가구,책장,Sauder Cornerstone Collection Library,198.272,8,0.2,-32.2192
2019.6.10,1등급,Noah Childs,기업고객,용인시,경기도,수도권,사무용품,저장고,Standard Rollaway File with Lock,720.76,5,0.2,54.057
2020.11.21,표준등급,Erica Hackney,개인고객,안산시,경기도,수도권,전자제품,전화기,Wireless Extenders zBoost YX545 SOHO Signal Booster,151.192,1,0.2,13.2293
2019.6.11,표준등급,Bill Donatelli,개인고객,중구,서울,수도권,전자제품,전화기,"Logitech B530 USB Headset - headset - Full size, Binaural",88.776,3,0.2,7.7679
2019.6.11,표준등급,Bill Donatelli,개인고객,중구,서울,수도권,사무용품,라벨,Avery 512,11.56,4,0,5.4332
2019.6.11,표준등급,Bill Donatelli,개인고객,중구,서울,수도권,사무용품,저장고,Personal File Boxes with Fold-Down Carry Handle,15.58,1,0,3.895
2019.9.11,1등급,Ken Heidel,기업고객,연제구,부산,특별광역시,사무용품,종이,Xerox 1906,85.056,3,0.2,28.7064
2019.4.9,표준등급,Nicole Hansen,기업고객,중구,서울,수도권,가구,기타 가구,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",273.96,2,0,71.2296
2019.4.9,표준등급,Nicole Hansen,기업고객,중구,서울,수도권,가구,기타 가구,Luxo Professional Combination Clamp-On Lamps,306.9,3,0,79.794
2020.10.24,표준등급,Andrew Gjertsen,기업고객,안산시,경기도,수도권,사무용품,종이,Xerox 1999,15.552,3,0.2,5.4432
2020.10.24,표준등급,Andrew Gjertsen,기업고객,안산시,경기도,수도권,가구,테이블,KI Conference Tables,347.361,7,0.3,-69.4722
2020.10.24,표준등급,Andrew Gjertsen,기업고객,안산시,경기도,수도권,사무용품,종이,Xerox 2,10.368,2,0.2,3.6288
2019.5.28,표준등급,Roy Phan,기업고객,중구,서울,수도권,전자제품,액세서리,Logitech Desktop MK120 Mouse and keyboard Combo,98.16,6,0,9.816
2019.5.28,표준등급,Roy Phan,기업고객,중구,서울,수도권,사무용품,아트,Staples in misc. colors,31.44,3,0,7.86
2019.12.5,1등급,Nona Balk,기업고객,양산시,경상남도,경상,사무용품,봉투,Cameo Buff Policy Envelopes,348.488,7,0.2,117.6147
2019.12.5,1등급,Nona Balk,기업고객,양산시,경상남도,경상,사무용품,저장고,Fellowes Bankers Box Recycled Super Stor/Drawer,172.736,4,0.2,-30.2288
2020.8.15,표준등급,Jill Matthias,개인고객,송파구,서울,수도권,사무용품,종이,Array Memo Cubes,15.54,3,0,7.6146
2020.8.15,표준등급,Jill Matthias,개인고객,송파구,서울,수도권,전자제품,기계,Texas Instruments TI-34 Scientific Calculator,105.552,6,0.2,35.6238
2020.9.6,2등급,Don Miller,기업고객,안산시,경기도,수도권,사무용품,종이,Xerox 202,25.92,5,0.2,9.072
2020.9.6,2등급,Don Miller,기업고객,안산시,경기도,수도권,사무용품,잠금장치,Staples,15.808,8,0.2,5.3352
2020.9.6,2등급,Don Miller,기업고객,안산시,경기도,수도권,사무용품,종이,Xerox 1930,10.368,2,0.2,3.7584
2019.6.27,표준등급,Chris Cortes,개인고객,양산시,경상남도,경상,전자제품,전화기,Bose SoundLink Bluetooth Speaker,358.2,3,0.4,41.79
2019.6.27,표준등급,Chris Cortes,개인고객,양산시,경상남도,경상,전자제품,전화기,Plantronics Voyager Pro HD - Bluetooth Headset,545.916,14,0.4,72.7888
2019.2.19,2등급,Cynthia Voltz,기업고객,송파구,서울,수도권,전자제품,전화기,iHome FM Clock Radio with Lightning Dock,167.976,3,0.2,10.4985
2019.2.19,2등급,Cynthia Voltz,기업고객,송파구,서울,수도권,전자제품,액세서리,Memorex Micro Travel Drive 32 GB,109.53,3,0,47.0979
2019.2.19,2등급,Cynthia Voltz,기업고객,송파구,서울,수도권,사무용품,라벨,Avery 493,9.82,2,0,4.8118
2019.11.11,2등급,Nick Crebassa,기업고객,중구,서울,수도권,사무용품,바인더,GBC Imprintable Covers,26.352,3,0.2,9.5526
2020.9.25,당일배송,Edward Becker,기업고객,서초구,서울,수도권,가구,기타 가구,Nu-Dell Executive Frame,63.2,5,0,23.384
2020.11.21,표준등급,Matt Connell,기업고객,송파구,서울,수도권,사무용품,가정용 전자기기,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",39,12,0,11.31
2020.9.28,표준등급,Brian Moss,기업고객,송파구,서울,수도권,사무용품,바인더,Recycled Pressboard Report Cover with Reinforced Top Hinge,2.907,3,0.7,-2.0349
2020.4.10,표준등급,Herbert Flentye,개인고객,송파구,서울,수도권,가구,책장,Bush Somerset Collection Bookcase,556.665,5,0.15,6.549
2019.9.22,1등급,Muhammed Lee,개인고객,중구,서울,수도권,전자제품,액세서리,Sony 64GB Class 10 Micro SDHC R40 Memory Card,71.98,2,0,15.1158
2019.9.22,1등급,Muhammed Lee,개인고객,중구,서울,수도권,전자제품,액세서리,Logitech M510 Wireless Mouse,79.98,2,0,26.3934
2019.8.25,표준등급,Alan Haines,기업고객,성남시,경기도,수도권,사무용품,바인더,DXL Angle-View Binders with Locking Rings by Samsill,24.672,4,0.2,7.71
2019.8.25,표준등급,Alan Haines,기업고객,성남시,경기도,수도권,사무용품,바인더,Acco Translucent Poly Ring Binders,3.744,1,0.2,1.3104
2020.2.22,표준등급,Tracy Zic,개인고객,송파구,서울,수도권,전자제품,전화기,AT&T 1070 Corded Phone,445.96,5,0.2,55.745
2020.2.22,표준등급,Tracy Zic,개인고객,송파구,서울,수도권,전자제품,액세서리,Memorex Mini Travel Drive 64 GB USB 2.0 Flash Drive,36.24,1,0,15.2208
2020.2.22,표준등급,Tracy Zic,개인고객,송파구,서울,수도권,사무용품,잠금장치,"Acco Clips to Go Binder Clips, 24 Clips in Two Sizes",10.65,3,0,5.0055
2019.12.9,표준등급,Denise Monton,기업고객,서초구,서울,수도권,사무용품,종이,Standard Line “While You Were Out” Hardbound Telephone Message Book,87.92,4,0,40.4432
2019.12.9,표준등급,Denise Monton,기업고객,서초구,서울,수도권,사무용품,바인더,"Performers Binder/Pad Holder, Black",22.424,1,0.2,8.409
2019.12.9,표준등급,Denise Monton,기업고객,서초구,서울,수도권,사무용품,바인더,Vinyl Sectional Post Binders,90.48,3,0.2,33.93
2019.12.9,표준등급,Denise Monton,기업고객,서초구,서울,수도권,사무용품,저장고,"SAFCO Mobile Desk Side File, Wire Frame",42.76,1,0,11.1176
2019.9.24,표준등급,Lena Cacioppo,개인고객,남동구,인천광역시,특별광역시,사무용품,가정용 전자기기,Euro Pro Shark Stick Mini Vacuum,73.176,6,0.8,-197.5752
2019.9.24,표준등급,Lena Cacioppo,개인고객,남동구,인천광역시,특별광역시,사무용품,종이,Xerox 217,20.736,4,0.2,7.2576
2019.9.24,표준등급,Lena Cacioppo,개인고객,남동구,인천광역시,특별광역시,전자제품,전화기,OtterBox Commuter Series Case - Samsung Galaxy S4,39.984,2,0.2,-8.9964
2020.10.23,1등급,Joe Elijah,개인고객,안산시,경기도,수도권,사무용품,종이,Xerox 212,36.288,7,0.2,12.7008
2020.10.23,1등급,Joe Elijah,개인고객,안산시,경기도,수도권,전자제품,전화기,Jabra SPEAK 410,150.384,2,0.2,15.0384
2020.4.1,2등급,Carlos Soltero,개인고객,양산시,경상남도,경상,전자제품,전화기,LG Exalt,280.782,3,0.4,-60.8361
2020.4.1,2등급,Carlos Soltero,개인고객,양산시,경상남도,경상,전자제품,액세서리,Anker Ultra-Slim Mini Bluetooth 3.0 Wireless Keyboard,31.984,2,0.2,1.1994
2020.12.30,표준등급,Phillip Flathmann,개인고객,송파구,서울,수도권,사무용품,바인더,Acco Translucent Poly Ring Binders,11.232,3,0.2,3.9312
2019.11.4,2등급,Patrick Jones,기업고객,포항시,경상북도,경상,사무용품,종이,Xerox 1963,26.4,5,0,11.88
2020.12.4,1등급,Neoma Murray,개인고객,송파구,서울,수도권,전자제품,액세서리,Logitech Z-906 Speaker sys - home theater - 5.1-CH,1649.95,5,0,659.98
2020.12.4,1등급,Neoma Murray,개인고객,송파구,서울,수도권,가구,기타 가구,3M Polarizing Light Filter Sleeves,111.9,6,0,51.474
2020.6.15,당일배송,Marc Harrigan,홈오피스,송파구,서울,수도권,가구,책장,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",599.165,5,0.15,35.245
2020.9.3,1등급,Sam Zeldin,홈오피스,서초구,서울,수도권,사무용품,저장고,"Tenex File Box, Personal Filing Tote with Lid, Black",46.53,3,0,12.0978
2019.9.5,1등급,Patrick Ryan,개인고객,나주시,전라남도,전라,가구,기타 가구,Telescoping Adjustable Floor Lamp,31.984,2,0.2,1.999
2019.10.22,표준등급,Frank Carlisle,홈오피스,서초구,서울,수도권,사무용품,가정용 전자기기,Avanti 1.7 Cu. Ft. Refrigerator,161.568,2,0.2,16.1568
2019.10.22,표준등급,Frank Carlisle,홈오피스,서초구,서울,수도권,사무용품,종이,"RSVP Cards & Envelopes, Blank White, 8-1/2"" X 11"", 24 Cards/25 Envelopes/Set",4.064,1,0.2,1.3716
2019.10.22,표준등급,Frank Carlisle,홈오피스,서초구,서울,수도권,사무용품,바인더,"SlimView Poly Binder, 3/8""",6.216,4,0.7,-4.9728
2019.4.26,표준등급,Larry Hughes,개인고객,서귀포시,제주,제주,사무용품,아트,Newell 318,8.896,4,0.2,0.6672
2020.10.19,표준등급,Robert Marley,홈오피스,송파구,서울,수도권,사무용품,가정용 전자기기,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",1640.7,5,0,459.396
2020.10.19,표준등급,Robert Marley,홈오피스,송파구,서울,수도권,전자제품,액세서리,NETGEAR N750 Dual Band Wi-Fi Gigabit Router,270,3,0,97.2
2019.7.5,1등급,Don Miller,기업고객,담양군,전라남도,전라,가구,기타 가구,Advantus Panel Wall Certificate Holder - 8.5x11,19.52,2,0.2,5.368
2019.7.5,1등급,Don Miller,기업고객,담양군,전라남도,전라,사무용품,바인더,Wilson Jones Four-Pocket Poly Binders,9.81,5,0.7,-6.867
2019.7.5,1등급,Don Miller,기업고객,담양군,전라남도,전라,가구,기타 가구,Luxo Adjustable Task Clamp Lamp,213.216,3,0.2,15.9912
2020.4.5,표준등급,Evan Henry,개인고객,성남시,경기도,수도권,사무용품,바인더,Ibico Ibimaster 300 Manual Binding System,588.784,2,0.2,183.995
2019.11.14,2등급,Toby Carlisle,개인고객,강서구,서울,수도권,사무용품,아트,DIXON Oriole Pencils,2.064,1,0.2,0.1548
2019.9.10,표준등급,Arianne Irving,개인고객,제주시,제주,제주,사무용품,종이,Unpadded Memo Slips,6.368,2,0.2,2.388
2020.4.17,표준등급,Jessica Myrick,개인고객,성남시,경기도,수도권,전자제품,액세서리,Enermax Acrylux Wireless Keyboard,99.6,1,0,36.852
2020.4.17,표준등급,Jessica Myrick,개인고객,성남시,경기도,수도권,사무용품,바인더,"DXL Angle-View Binders with Locking Rings, Black",62.296,13,0.2,21.0249
2020.4.17,표준등급,Jessica Myrick,개인고객,성남시,경기도,수도권,사무용품,아트,Barrel Sharpener,10.71,3,0,2.7846
2020.7.26,표준등급,Bill Eplett,홈오피스,안산시,경기도,수도권,사무용품,봉투,Quality Park Security Envelopes,20.936,1,0.2,7.0659
2020.8.27,표준등급,Dan Reichenbach,기업고객,성남시,경기도,수도권,전자제품,전화기,Samsung Replacement EH64AVFWE Premium Headset,33,6,0,8.25
2020.8.27,표준등급,Dan Reichenbach,기업고객,성남시,경기도,수도권,전자제품,액세서리,Plantronics Audio 478 Stereo USB Headset,249.95,5,0,87.4825
2019.5.20,표준등급,Patrick Jones,기업고객,남구,부산,특별광역시,사무용품,종이,Things To Do Today Spiral Book,38.016,6,0.2,13.7808
2019.4.29,표준등급,Matt Connell,기업고객,양산시,경상남도,경상,사무용품,저장고,Sterilite Officeware Hinged File Box,8.384,1,0.2,0.7336
2019.4.29,표준등급,Matt Connell,기업고객,양산시,경상남도,경상,사무용품,아트,Newell 341,6.848,2,0.2,0.7704
2019.12.30,표준등급,Bruce Stewart,개인고객,동구,부산,특별광역시,사무용품,잠금장치,Acco Glide Clips,19.6,5,0,9.604
2019.12.30,표준등급,Bruce Stewart,개인고객,동구,부산,특별광역시,가구,기타 가구,Hand-Finished Solid Wood Document Frame,68.46,2,0,20.538
2019.9.5,2등급,Pete Kriz,개인고객,서초구,서울,수도권,사무용품,바인더,Acco Suede Grain Vinyl Round Ring Binder,13.344,6,0.2,4.3368
2019.9.5,2등급,Pete Kriz,개인고객,서초구,서울,수도권,가구,테이블,"Bush Cubix Conference Tables, Fully Assembled",1478.272,8,0.2,92.392
2019.3.21,표준등급,Thomas Seio,기업고객,완주군,전라북도,전라,사무용품,저장고,Tennsco Commercial Shelving,16.272,1,0.2,-3.8646
2019.9.29,표준등급,Bruce Degenhardt,개인고객,송파구,서울,수도권,가구,기타 가구,Longer-Life Soft White Bulbs,9.24,3,0,4.4352
2019.1.20,1등급,Toby Swindell,개인고객,서귀포시,제주,제주,사무용품,바인더,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",32.34,10,0.7,-23.716
2019.1.20,1등급,Toby Swindell,개인고객,서귀포시,제주,제주,사무용품,종이,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",56.064,4,0.2,19.6224
2019.1.20,1등급,Toby Swindell,개인고객,서귀포시,제주,제주,사무용품,봉투,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",108.72,5,0.2,36.693
2019.1.20,1등급,Toby Swindell,개인고객,서귀포시,제주,제주,가구,책장,O'Sullivan 4-Shelf Bookcase in Odessa Pine,181.47,5,0.7,-320.597
2019.2.15,2등급,Shui Tom,개인고객,안산시,경기도,수도권,사무용품,종이,"Memo Book, 100 Message Capacity, 5 3/8” x 11”",16.176,3,0.2,6.066
2020.6.10,표준등급,Dean Braden,개인고객,서초구,서울,수도권,가구,의자,"Global Deluxe Stacking Chair, Gray",122.352,3,0.2,13.7646
2019.9.26,1등급,Karen Ferguson,홈오피스,강남구,서울,수도권,가구,의자,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",585.552,3,0.2,73.194
2019.9.26,1등급,Karen Ferguson,홈오피스,강남구,서울,수도권,사무용품,종이,Xerox 217,19.44,3,0,9.3312
2020.5.31,표준등급,Justin MacKendrick,개인고객,남구,부산,특별광역시,사무용품,가정용 전자기기,Euro-Pro Shark Turbo Vacuum,123.92,5,0.2,9.294
2019.3.31,표준등급,Karen Bern,기업고객,순천시,전라남도,전라,사무용품,바인더,Avery Hole Reinforcements,1.869,1,0.7,-1.3083
2019.10.9,표준등급,Chris Selesnick,기업고객,강남구,서울,수도권,전자제품,전화기,Digium D40 VoIP phone,103.192,1,0.2,11.6091
2019.10.9,표준등급,Chris Selesnick,기업고객,강남구,서울,수도권,전자제품,액세서리,KeyTronic E03601U1 - Keyboard - Beige,36,2,0,6.48
2019.10.9,표준등급,Chris Selesnick,기업고객,강남구,서울,수도권,전자제품,액세서리,Logitech Illuminated - Keyboard,239.96,4,0,115.1808
2019.10.9,표준등급,Chris Selesnick,기업고객,강남구,서울,수도권,사무용품,저장고,Tennsco Commercial Shelving,40.68,2,0,0.4068
2019.1.31,표준등급,Emily Burns,개인고객,순천시,전라남도,전라,가구,의자,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",419.136,4,0.2,-68.1096
2019.12.12,표준등급,Philip Brown,개인고객,순천시,전라남도,전라,사무용품,봉투,Staple envelope,23.472,3,0.2,7.6284
2020.10.24,표준등급,Michelle Tran,홈오피스,용인시,경기도,수도권,사무용품,바인더,Avery Non-Stick Binders,3.592,4,0.8,-6.286
2019.4.2,2등급,Barry Französisch,기업고객,화순군,전라남도,전라,전자제품,전화기,Mediabridge Sport Armband iPhone 5s,23.976,3,0.2,-5.6943
2019.4.2,2등급,Barry Französisch,기업고객,화순군,전라남도,전라,사무용품,라벨,Avery 494,6.264,3,0.2,2.0358
2019.4.2,2등급,Barry Französisch,기업고객,화순군,전라남도,전라,사무용품,가정용 전자기기,Staple holder,20.808,3,0.2,1.8207
2019.4.2,2등급,Barry Französisch,기업고객,화순군,전라남도,전라,가구,의자,"Global Wood Trimmed Manager's Task Chair, Khaki",218.352,3,0.2,-19.1058
2019.1.27,1등급,Claire Gute,개인고객,안산시,경기도,수도권,사무용품,저장고,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",18.16,2,0.2,1.816
2019.11.28,당일배송,Duane Huffman,홈오피스,서초구,서울,수도권,사무용품,소모품,Staple remover,7.36,2,0,0.1472
2019.11.28,당일배송,Duane Huffman,홈오피스,서초구,서울,수도권,사무용품,라벨,Avery 489,41.4,4,0,19.872
2019.11.28,당일배송,Duane Huffman,홈오피스,서초구,서울,수도권,가구,책장,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",411.332,4,0.15,-4.8392
2020.9.4,표준등급,Shaun Chance,기업고객,양산시,경상남도,경상,사무용품,바인더,Avery Heavy-Duty EZD View Binder with Locking Rings,7.656,4,0.7,-6.1248
2019.6.13,표준등급,Hunter Glantz,개인고객,북구,부산,특별광역시,전자제품,액세서리,Microsoft Sculpt Comfort Mouse,63.92,2,0.2,19.176
2019.7.16,2등급,Michelle Moray,개인고객,성남시,경기도,수도권,사무용품,아트,Newell 349,6.56,2,0,1.9024
2019.7.16,2등급,Michelle Moray,개인고객,성남시,경기도,수도권,사무용품,라벨,Avery 509,7.83,3,0,3.6018
2019.7.16,2등급,Michelle Moray,개인고객,성남시,경기도,수도권,전자제품,액세서리,Sony 32GB Class 10 Micro SDHC R40 Memory Card,41.9,2,0,8.799
2019.7.16,2등급,Michelle Moray,개인고객,성남시,경기도,수도권,가구,의자,Hon Mobius Operator's Chair,664.146,6,0.1,88.5528
2019.7.16,2등급,Michelle Moray,개인고객,성남시,경기도,수도권,사무용품,종이,Spiral Phone Message Books with Labels by Adams,8.96,2,0,4.3904
2019.11.3,표준등급,Thea Hudgings,기업고객,양산시,경상남도,경상,가구,기타 가구,Eldon Image Series Black Desk Accessories,3.312,1,0.2,0.6624
2019.11.3,표준등급,Thea Hudgings,기업고객,양산시,경상남도,경상,사무용품,가정용 전자기기,Black & Decker Filter for Double Action Dustbuster Cordless Vac BLDV7210,20.136,3,0.2,1.2585
2019.11.3,표준등급,Thea Hudgings,기업고객,양산시,경상남도,경상,사무용품,봉투,Colored Envelopes,8.856,3,0.2,2.8782
2019.11.3,표준등급,Thea Hudgings,기업고객,양산시,경상남도,경상,전자제품,전화기,Wilson Electronics DB Pro Signal Booster,859.2,4,0.4,-186.16
2020.10.9,당일배송,Joel Eaton,개인고객,송파구,서울,수도권,사무용품,종이,Xerox 1925,61.96,2,0,27.882
2020.4.9,표준등급,Patrick Gardner,개인고객,속초시,강원도,강원,사무용품,봉투,Ampad #10 Peel & Seel Holiday Envelopes,17.92,4,0,8.6016
2020.10.8,표준등급,Maria Bertelson,개인고객,서초구,서울,수도권,가구,기타 가구,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",145.9,5,0,62.737
2019.5.16,표준등급,Joy Daniels,개인고객,남동구,인천광역시,특별광역시,사무용품,종이,Xerox 1880,56.704,2,0.2,19.1376
2019.5.16,표준등급,Joy Daniels,개인고객,남동구,인천광역시,특별광역시,전자제품,전화기,QVS USB Car Charger 2-Port 2.1Amp for iPod/iPhone/iPad/iPad 2/iPad 3,11.12,2,0.2,3.475
2020.5.30,1등급,Edward Nazzal,개인고객,성남시,경기도,수도권,전자제품,전화기,RCA H5401RE1 DECT 6.0 4-Line Cordless Handset With Caller ID/Call Waiting,239.97,3,0,2.3997
